1.0,0.1,4544927.35799,
1.0,0.2,2019888.03589,
1.0,0.3,1178315.04275,
1.0,0.4,757469.52784,
1.0,0.5,504975.66931,
1.0,0.6,336656.37689,
1.0,0.7,216511.39244,
1.0,0.8,126167.28927,
1.0,0.9,56174.0456,
10.0,0.1,4545080.28628,
10.0,0.2,2019924.54097,
10.0,0.3,1178276.74503,
10.0,0.4,757647.48903,
10.0,0.5,504981.23143,
10.0,0.6,336612.77115,
10.0,0.7,216474.14569,
10.0,0.8,126294.84173,
10.0,0.9,56087.68065,
20.0,0.1,4545047.28502,
20.0,0.2,2019965.00852,
20.0,0.3,1178452.78536,
20.0,0.4,757617.41767,
20.0,0.5,505083.24012,
20.0,0.6,336650.20456,
20.0,0.7,216498.20515,
20.0,0.8,126228.81149,
20.0,0.9,56354.72609,
50.0,0.1,4545370.83531,
50.0,0.2,2020015.49205,
50.0,0.3,1178377.9422,
50.0,0.4,757402.2691,
50.0,0.5,505133.71953,
50.0,0.6,336952.29776,
50.0,0.7,216411.30837,
50.0,0.8,126376.64022,
50.0,0.9,56096.35859,
